year,CAP Co River,Groundwater (Regulated),Groundwater (Unregulated),Local Co River,Mixed Source,Tribal Sovereign Lands
2002,-1.063271095714286,-1.0102338085714286,-1.2941438535714285,-1.4916010527142858,-1.6203183857142858,-1.20055599
2003,-0.5605987281818181,-0.6887068745454545,-0.8514327763636363,-0.7225084963636363,-1.2253821236363636,-0.9591902818181818
2004,-1.0302066,-0.9489093825,-1.3950029141666667,-1.4609509166666668,-1.8631384666666666,-1.4908357208333334
2005,2.9052442316666665,2.668349619166667,3.625027986416667,3.7177350211666664,4.2209285025000005,3.3623660033333334
2006,0.04390918916666667,-0.13471253166666666,0.1494254475,0.35976886575,0.4077552641666667,0.15668839416666666
2007,-0.6095987233333333,-0.3517098408333334,-0.7278364924999999,-1.0061911283333334,-0.9173471208333334,-0.5898593308333332
2008,0.06682087833333333,0.07261933499999998,-0.07686607750000003,-0.02717567499999998,-0.22541700769999987,-0.03797895033333324
2009,-1.3761688925,-1.3056371833333333,-1.5747479733333334,-1.5831861783333334,-1.6227813025,-1.4003803291666668
2010,0.2869368241666667,0.15076204,0.14849764333333335,0.5616093225,0.0020296091666666496,0.15884776500000006
2011,-2.0635424710000003,-2.451387085,-1.6583191475999999,-1.126289423,-0.7836580120000001,-1.3431730659999999
2012,-3.0141835329999997,-3.4014978499999997,-3.067283985,-2.4428976479999998,-2.777619797,-2.962438191
2013,-4.892412622222222,-5.415249266666667,-4.6720487111111115,-3.5233166377777776,-4.326475855555556,-4.743711911111111
2014,-5.321292077777778,-5.1900762333333335,-5.5768133888888896,-5.449697622222222,-5.375386766666667,-5.148175388888889
2015,-5.018601555555556,-4.335495133333334,-5.634731877777778,-5.700877188888889,-6.6099181,-4.862455644444444
2016,-6.714021922222222,-6.018851844444445,-6.859658644444444,-8.625247422222223,-6.316621592222223,-5.4234153
2017,-4.8479209,-5.22380784,-4.38431856,-3.722870726,-3.3470996200000003,-3.5207582200000003
2018,-11.339849000000001,-11.7311324,-11.9050542,-11.5244174,-12.616109400000001,-11.3195958
2019,-7.345050475000001,-7.509921833333333,-6.941493941666667,-7.07968425,-5.8391245875,-5.369057056666667
2020,-8.29419425,-8.40832865,-8.690823674999999,-9.133702258333335,-8.587100741666667,-7.296569875
2021,-11.724259125000001,-12.815400833333333,-12.016061833333334,-11.441131933333333,-11.555889983333332,-10.678772283333332
2022,-13.424884416666666,-13.50065675,-13.704524833333332,-14.204439583333333,-13.762247833333333,-10.874821249999998
2023,-6.2442772,-8.096004983333332,-6.669929383333333,-6.142145766666666,-5.293539783333333,-4.809437116666667
