index,CAP,GW,Mix,No_CAP,Res,SW
1853,,,,,,
1856,,,,,,
1857,,,,,,
1860,,,,,,
1864,,,,,,
1868,,,,,,
1870,,,,,,
1871,,,,,,
1872,,,,,,
1873,,,,,,
1875,,,,,,
1876,,,,,,
1877,,,,,,
1878,,,,,,
1879,,,,,,
1880,,,,,,
1881,,60.0,,,,
1882,,,,,,
1883,,65.0,,,,
1884,,,,,,
1885,,,,,,
1886,,,,,,
1887,,,,,,
1888,,,,,,
1889,,,,,,
1890,,,,,,
1891,,,,,,
1892,,,,,,
1893,,,,,,
1894,,,,,,
1895,,,,,,
1896,,,,,,
1897,,,,,,
1898,,,,,,
1899,,,,,,
1900,,18.0,,75.0,,
1901,,,,,,
1902,,,,,,
1903,,,,,,
1904,,0.0,,,,
1905,,,,,,
1906,,,,,,
1907,,,,,,
1908,,,,,,
1909,,,,,,
1910,,,90.0,70.0,,
1911,,,,,,
1912,,,,,,
1913,,,,,,
1914,,,,,,
1915,0.0,116.25,,,,
1916,,,,,,
1917,,22.0,,,,
1918,,80.0,,,,
1919,,170.0,,,,
1920,,250.0,,,,
1921,,,,,,
1922,229.0,,,,,
1923,221.0,,,,,
1924,,,,,,
1925,20.75,1.0,,,,
1926,90.0,,,,,
1927,0.0,,,,,
1928,113.0,40.0,,,,
1929,69.0,123.0,,,,
1930,90.08999999999999,55.0,,26.0,,28.0
1931,80.21333333333332,,,,,
1932,83.408,,,,,
1933,97.3,,,,,
1934,89.99857142857142,,,22.58,,
1935,108.248,175.5,,121.0,,
1936,119.11818181818181,230.0,,,,
1937,110.23916666666668,218.0,,96.0,,
1938,117.215,136.0,,43.28333333333334,,
1939,115.06090909090909,28.69,51.70000000000001,17.776666666666667,,
1940,125.01882352941178,98.48444444444445,46.178,46.73,,
1941,126.249,44.02272727272727,38.482000000000006,56.05090909090909,,
1942,135.38111111111112,57.952,44.65,50.595454545454544,,
1943,141.25777777777776,279.825,42.865,50.145833333333336,,54.88
1944,125.96636363636365,105.17333333333333,67.37,38.082857142857144,,
1945,164.7535,95.99538461538462,43.235,40.73307692307692,,70.045
1946,160.8342857142857,77.04285714285713,43.884,58.43473684210526,,69.22
1947,177.54333333333332,59.64071428571429,38.1925,72.34947368421054,,65.885
1948,166.85057692307691,59.605714285714285,130.25,66.64478260869565,,63.305
1949,148.5630303030303,108.70559999999999,48.80166666666667,60.31875,,60.595
1950,162.79584415584415,69.00970588235293,43.304,62.7475,,58.89
1951,188.4141584158416,104.81800000000001,54.80857142857143,51.8916,,58.33
1952,178.4189583333333,91.62121951219513,52.92666666666667,63.35896551724138,,55.61
1953,174.55911111111112,113.00017857142858,55.13142857142857,58.77733333333333,,54.25
1954,181.56634615384615,115.78738461538461,57.20428571428571,63.29631578947369,,44.03333333333333
1955,186.3801675977654,94.69327272727273,90.32375,60.68722222222222,,41.653333333333336
1956,173.73296089385477,99.71178571428571,57.178333333333335,68.68151515151514,70.0,40.660000000000004
1957,188.75296116504856,117.70907894736841,53.79777777777778,70.66735294117647,,38.98666666666667
1958,175.26733695652175,148.01375,47.58166666666667,66.23565217391305,,37.88666666666666
1959,183.58220588235292,131.36072463768116,62.736666666666665,79.48411764705882,,37.6
1960,184.86841121495326,125.1087142857143,54.0625,64.81513513513514,,39.52666666666667
1961,183.74010050251255,133.24382352941177,56.22125,82.937,34.65,33.406666666666666
1962,200.86960317460318,158.53655172413792,54.29375,75.31705882352941,20.0,33.800000000000004
1963,203.7510763888889,194.47831578947367,49.901428571428575,90.2745,18.58,38.989999999999995
1964,200.488875,162.2979347826087,213.63,81.55720930232559,19.36,45.32
1965,208.2643650793651,214.09935185185185,103.076,90.93357142857143,17.33,45.7375
1966,224.56071129707115,198.31897435897434,68.60416666666667,95.74170731707316,27.86,63.42
1967,210.8628934010152,202.16057692307692,94.672,102.5815,20.07,73.455
1968,209.7432735426009,216.61358620689657,88.52636363636363,100.35634146341462,19.54,104.86
1969,216.92121621621624,179.2164393939394,124.14363636363636,114.75030303030303,19.505000000000003,62.467999999999996
1970,216.4781081081081,189.38818181818183,79.0,126.60033333333334,17.9,62.196000000000005
1971,261.2757286432161,195.66861842105263,82.12909090909092,136.25815789473685,19.05,61.878
1972,264.7077333333333,197.5782236842105,88.75899999999999,135.43891891891892,18.5,61.581999999999994
