index,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0
1853,,0.0,,,,,,,,,
1856,,,,40.0,,,,,,,
1857,,,60.0,,,,,,,,
1860,,18.0,,,,2.0,,,,,
1864,,,,,,,,10.0,,,
1868,,,,,,27.0,,,25.0,,
1870,60.0,,,,,30.0,,20.666666666666668,20.0,,
1871,,,,,,,,0.0,,,
1872,,,10.0,,,,,,,,0.0
1873,10.0,,,,,,,,,,
1875,,,,,,7.0,,,,,
1876,,,,15.0,,,,,,,
1877,,,8.0,,,,,,,,
1878,,,,,,13.0,,,8.666666666666666,,
1879,,70.0,,,,62.142857142857146,70.0,10.0,70.0,,
1880,6.0,12.142857142857142,2.0,50.0,,21.5,,7.6,4.142857142857143,10.0,10.5
1881,,34.0,,,,6.0,12.0,,,,
1882,,50.0,10.0,,,92.0,,,15.0,,55.0
1883,,143.66666666666666,,50.0,200.0,79.80952380952381,,4.0,200.0,,
1884,,0.0,,,,0.0,,0.0,0.0,,0.0
1885,,0.0,10.0,,,,10.0,4.5,,,
1886,,,0.0,,,20.0,,,12.0,,
1887,,,,,70.0,0.0,,,,,
1888,,,,,,18.5,0.0,0.0,0.0,,10.0
1889,,,6.0,,,22.0,,,,,
1890,15.0,59.5,21.142857142857142,,,37.18181818181818,10.0,27.0,38.285714285714285,3.2,0.0
1891,,,,,,11.0,,,4.0,,
1892,,,,,,10.0,,460.0,,,
1893,,60.0,5.0,,,230.0,,12.0,,3.0,
1894,,,,,,40.0,,,,,
1895,,100.0,17.0,,,11.75,,0.0,12.0,,13.0
1896,,22.5,0.0,,,,,10.0,8.333333333333334,,0.0
1897,,,300.0,,6.0,,,,14.0,,
1898,0.0,13.0,0.0,,,7.25,,19.5,15.0,,
1899,25.0,36.333333333333336,60.25,,0.0,8.7,0.0,1000.0,25.0,,5.0
1900,34.0,31.958333333333332,22.9375,48.875,164.0,25.956043956043956,13.75,17.96551724137931,49.63333333333333,6.75,26.375
1901,8.0,25.0,16.0,,,26.666666666666668,30.0,0.0,140.0,,27.0
1902,20.0,0.0,,,,316.4,0.0,35.0,,,0.0
1903,0.0,0.0,,20.0,,55.375,,41.92857142857143,0.0,,25.5
1904,173.0,,0.0,,,15.0,5.0,,28.75,,
1905,149.0,30.666666666666668,60.0,42.0,,38.0,6.0,14.571428571428571,32.5,,0.0
1906,,11.0,4.333333333333333,,,139.84615384615384,,0.8333333333333334,15.0,,
1907,30.0,29.5,32.25,380.0,,7.454545454545454,,94.5,6.75,,
1908,,58.4,,10.0,8.0,16.55,19.0,32.5,476.0,,53.333333333333336
1909,,70.0,30.0,,,15.5,37.5,0.0,16.88888888888889,,11.0
1910,96.42857142857143,40.68181818181818,14.166666666666666,88.33333333333333,25.0,58.911764705882355,33.333333333333336,18.666666666666668,51.4,,75.0
1911,,57.5,,281.0,,18.0,0.0,19.0,47.0,,20.0
1912,0.0,95.58333333333333,0.0,25.0,6.0,45.791666666666664,57.75,0.0,38.57142857142857,6.0,65.66666666666667
1913,30.0,252.0,0.0,,,40.625,,9.4,18.5,20.0,45.4
1914,30.0,107.25,224.0,52.5,,67.69444444444444,3.0,30.0,12.666666666666666,,29.5
1915,40.0,113.4,39.5,63.833333333333336,2.0,40.6,26.666666666666668,44.57142857142857,96.11111111111111,700.0,101.84615384615384
1916,34.5,141.33333333333334,20.0,,56.666666666666664,22.87878787878788,6.25,13.636363636363637,59.5,,40.888888888888886
1917,,164.44444444444446,17.5,21.333333333333332,,88.125,20.0,272.3333333333333,27.375,,88.66666666666667
1918,,24.125,88.85714285714286,12.0,,87.6046511627907,45.0,180.85714285714286,54.75,,18.333333333333332
1919,54.0,83.41346153846153,38.416666666666664,107.5,120.0,106.98148148148148,32.25,19.636363636363637,26.125,,38.81818181818182
1920,147.5,74.12280701754386,50.81481481481482,45.0,,118.79032258064517,36.0,68.07692307692308,61.416666666666664,,30.083333333333332
1921,,81.15384615384616,101.6,,,46.714285714285715,,6.0,23.75,,
1922,,197.0909090909091,3.3333333333333335,0.0,,135.72727272727272,25.0,19.0,0.0,226.0,14.0
1923,39.5,60.714285714285715,54.833333333333336,,,378.0625,,35.607142857142854,110.33333333333333,,69.33333333333333
1924,60.0,22.357142857142858,316.0,17.25,,27.833333333333332,53.0,67.2,36.03333333333333,,44.0
1925,63.333333333333336,45.205128205128204,27.2,40.0,,58.77777777777778,50.333333333333336,146.6875,79.5,39.0,43.111111111111114
1926,233.0,108.6842105263158,114.25,19.333333333333332,,42.0,,50.125,122.6,,40.0
1927,0.0,135.33333333333334,85.4,60.0,,74.5,,8.2,111.07692307692308,,25.4
1928,60.857142857142854,90.77272727272727,69.42857142857143,10.0,,141.30263157894737,,,81.375,21.0,30.0
1929,55.03333333333334,96.23225806451613,75.35714285714286,174.0,,74.568,105.0,107.5,41.464285714285715,,37.142857142857146
1930,84.26947368421052,64.47007625272332,76.92222222222223,79.8435294117647,10.0,53.04090909090909,111.4,68.91666666666667,78.19157894736841,109.42857142857143,43.935483870967744
1931,58.16263636363635,90.34937878787879,44.54833333333333,123.74666666666667,,45.333333333333336,151.5,26.666666666666668,142.155,,8.0
1932,58.39168888888888,71.16920066045067,27.03488536155203,44.08321428571429,,61.01528571428571,445.0,23.916666666666668,47.9275,62.0,57.61538461538461
1933,44.15877777777777,114.69822222222221,23.467916666666667,158.0775,,124.98384615384614,,66.0,140.79142857142855,32.0,4.714285714285714
